"totalvariance";"coverage";"ci95width";"totalvariance.1";"coverage.1";"ci95width.1";"totalvariance.2";"coverage.2";"ci95width.2";"totalvariance.3";"coverage.3";"ci95width.3";"totalvariance.4";"coverage.4";"ci95width.4";"totalvariance.5";"coverage.5";"ci95width.5";"totalvariance.6";"coverage.6";"ci95width.6";"totalvariance.7";"coverage.7";"ci95width.7"
"1";0.0000255509784072626;1;0.0198184434027272;0.0000254818968116646;1;0.0197913391845339;0.0000255564516913652;1;0.0198196929063429;0.0000257395272096741;0.9;0.0198897729244567;0.0000224752334334421;0.2;0.0185816487774632;0.0000221957959010202;0;0.0184670032747853;0.0000247769775057144;0.6;0.0195121380633522;0.0000243480887393847;0.6;0.0193418730071724
"2";0.0000447764945629252;1;0.0262362953191944;0.0000448147041629707;0.9;0.0262476814529384;0.0000447774253664373;1;0.0262366578035596;0.0000450506597542158;0.8;0.0263161616153671;0.0000453064614756799;0.8;0.0263912260086949;0.0000454163931691066;0.7;0.0264233086238873;0.000044853897432231;0.7;0.0262585574555013;0.000044876727958933;0.6;0.0262647916614981
"3";0.000041979916646051;1;0.0254037506360239;0.0000417879465638845;0.9;0.0253452380140341;0.0000419663900522972;1;0.0253996210155346;0.0000414661145021241;0.9;0.0252475491304727;0.0000425284194234587;0.7;0.0255688730667771;0.0000426813299740819;0.5;0.0256150647271896;0.0000420470919211019;0.9;0.0254238446471124;0.0000424523708807895;0.8;0.0255459017295662
"4";0.0000333154568091109;0.9;0.0226298276884536;0.0000335829056055223;1;0.0227208423710209;0.0000333147098893779;0.8;0.0226284948725925;0.0000333385060164658;0.7;0.0226357167528904;0.0000339815872732229;1;0.0228558499628443;0.0000337749013828838;1;0.0227858212079902;0.0000336447662031448;0.7;0.0227402327966305;0.000033309627419253;0.7;0.0226257487257576
"x"
"1";0.0193418730071724
"2";0.0262647916614981
"3";0.0255459017295662
"4";0.0226257487257576
"c.0.0198184434027272..0.0262362953191944..0.0254037506360239..";"c.0.0197913391845339..0.0262476814529384..0.0253452380140341..";"c.0.0198196929063429..0.0262366578035596..0.0253996210155346..";"c.0.0198897729244567..0.0263161616153671..0.0252475491304727..";"c.0.0185816487774632..0.0263912260086949..0.0255688730667771..";"c.0.0184670032747853..0.0264233086238873..0.0256150647271896..";"c.0.0195121380633522..0.0262585574555013..0.0254238446471124..";"c.0.0193418730071724..0.0262647916614981..0.0255459017295662.."
"1";0.0198184434027272;0.0197913391845339;0.0198196929063429;0.0198897729244567;0.0185816487774632;0.0184670032747853;0.0195121380633522;0.0193418730071724
"2";0.0262362953191944;0.0262476814529384;0.0262366578035596;0.0263161616153671;0.0263912260086949;0.0264233086238873;0.0262585574555013;0.0262647916614981
"3";0.0254037506360239;0.0253452380140341;0.0253996210155346;0.0252475491304727;0.0255688730667771;0.0256150647271896;0.0254238446471124;0.0255459017295662
"4";0.0226298276884536;0.0227208423710209;0.0226284948725925;0.0226357167528904;0.0228558499628443;0.0227858212079902;0.0227402327966305;0.0226257487257576
"c.0.0000255509784072626..0.0000447764945629252..0.000041979916646051..";"c.0.0000254818968116646..0.0000448147041629707..0.0000417879465638845..";"c.0.0000255564516913652..0.0000447774253664373..0.0000419663900522972..";"c.0.0000257395272096741..0.0000450506597542158..0.0000414661145021241..";"c.0.0000224752334334421..0.0000453064614756799..0.0000425284194234587..";"c.0.0000221957959010202..0.0000454163931691066..0.0000426813299740819..";"c.0.0000247769775057144..0.000044853897432231..0.0000420470919211019..";"c.0.0000243480887393847..0.000044876727958933..0.0000424523708807895.."
"1";0.0000255509784072626;0.0000254818968116646;0.0000255564516913652;0.0000257395272096741;0.0000224752334334421;0.0000221957959010202;0.0000247769775057144;0.0000243480887393847
"2";0.0000447764945629252;0.0000448147041629707;0.0000447774253664373;0.0000450506597542158;0.0000453064614756799;0.0000454163931691066;0.000044853897432231;0.000044876727958933
"3";0.000041979916646051;0.0000417879465638845;0.0000419663900522972;0.0000414661145021241;0.0000425284194234587;0.0000426813299740819;0.0000420470919211019;0.0000424523708807895
"4";0.0000333154568091109;0.0000335829056055223;0.0000333147098893779;0.0000333385060164658;0.0000339815872732229;0.0000337749013828838;0.0000336447662031448;0.000033309627419253
"c.0.0000255509784072626..0.0000447764945629252..0.000041979916646051..";"c.0.0000254818968116646..0.0000448147041629707..0.0000417879465638845..";"c.0.0000255564516913652..0.0000447774253664373..0.0000419663900522972..";"c.0.0000257395272096741..0.0000450506597542158..0.0000414661145021241..";"c.0.0000224752334334421..0.0000453064614756799..0.0000425284194234587..";"c.0.0000221957959010202..0.0000454163931691066..0.0000426813299740819..";"c.0.0000247769775057144..0.000044853897432231..0.0000420470919211019..";"c.0.0000243480887393847..0.000044876727958933..0.0000424523708807895.."
"1";0.0000255509784072626;0.0000254818968116646;0.0000255564516913652;0.0000257395272096741;0.0000224752334334421;0.0000221957959010202;0.0000247769775057144;0.0000243480887393847
"2";0.0000447764945629252;0.0000448147041629707;0.0000447774253664373;0.0000450506597542158;0.0000453064614756799;0.0000454163931691066;0.000044853897432231;0.000044876727958933
"3";0.000041979916646051;0.0000417879465638845;0.0000419663900522972;0.0000414661145021241;0.0000425284194234587;0.0000426813299740819;0.0000420470919211019;0.0000424523708807895
"4";0.0000333154568091109;0.0000335829056055223;0.0000333147098893779;0.0000333385060164658;0.0000339815872732229;0.0000337749013828838;0.0000336447662031448;0.000033309627419253
